Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price ,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,28-Jun-23,3197.35,3208.00,3230.95,3193.40,3221.00,3215.45,3215.84,1575872.00,5067755614.75,125121.00,1031195.00,65.44
TCS,EQ,30-Jun-23,3215.45,3220.00,3310.00,3214.10,3298.40,3302.25,3280.38,2672406.00,8766501093.15,205777.00,1683039.00,62.98
TCS,EQ,03-Jul-23,3302.25,3314.30,3318.80,3268.75,3274.00,3272.30,3286.37,1687264.00,5544970019.55,120543.00,1112511.00,65.94
TCS,EQ,04-Jul-23,3272.30,3290.00,3315.00,3277.30,3307.00,3308.85,3298.36,1656681.00,5464337453.05,100235.00,965070.00,58.25
TCS,EQ,05-Jul-23,3308.85,3320.00,3329.00,3305.00,3322.00,3319.95,3318.57,1453008.00,4821906492.95,92949.00,857588.00,59.02
TCS,EQ,06-Jul-23,3319.95,3306.55,3328.45,3302.00,3321.30,3322.90,3314.41,1848238.00,6125814363.75,82587.00,942979.00,51.02
TCS,EQ,07-Jul-23,3322.90,3302.00,3356.90,3302.00,3321.00,3329.25,3334.15,1789326.00,5965881074.45,130328.00,822068.00,45.94
TCS,EQ,10-Jul-23,3329.25,3324.75,3324.75,3265.20,3277.00,3271.95,3283.62,1407431.00,4621463700.65,113059.00,785441.00,55.81
TCS,EQ,11-Jul-23,3271.95,3295.00,3295.00,3260.80,3272.00,3272.40,3277.42,1110172.00,3638501368.95,89756.00,613854.00,55.29
TCS,EQ,12-Jul-23,3272.40,3280.95,3289.15,3250.10,3260.95,3259.90,3266.42,1515240.00,4949416309.10,120424.00,885374.00,58.43
TCS,EQ,13-Jul-23,3259.90,3284.00,3367.45,3272.75,3344.50,3340.55,3338.97,4585146.00,15309671101.45,245158.00,2061479.00,44.96
TCS,EQ,14-Jul-23,3340.55,3365.00,3524.85,3352.00,3509.00,3514.65,3443.41,6306101.00,21714518276.50,318436.00,3428771.00,54.37
TCS,BL,17-Jul-23,3315.95,3514.65,3514.65,3514.65,3514.65,3514.65,3514.65,99465.00,349584662.25,1.00,-,-
TCS,EQ,17-Jul-23,3514.65,3510.00,3549.90,3477.05,3488.00,3491.70,3512.83,2743228.00,9636496606.90,221755.00,1110810.00,40.49
TCS,EQ,18-Jul-23,3491.70,3476.00,3524.00,3465.00,3492.45,3496.85,3496.72,2600090.00,9091781942.50,159053.00,1550758.00,59.64
TCS,EQ,19-Jul-23,3496.85,3500.00,3516.85,3445.65,3469.00,3470.05,3476.09,2405370.00,8361286032.75,131215.00,1563755.00,65.01
TCS,EQ,20-Jul-23,3470.05,3453.10,3478.90,3436.05,3461.60,3463.30,3453.22,1715404.00,5923659535.20,99611.00,924750.00,53.91
TCS,EQ,21-Jul-23,3463.30,3404.05,3434.90,3359.05,3374.00,3368.30,3396.22,3770223.00,12804501433.35,167464.00,2365927.00,62.75
TCS,EQ,24-Jul-23,3368.30,3381.00,3413.45,3372.10,3393.00,3394.75,3397.83,1680132.00,5708798867.65,124293.00,1129015.00,67.20
TCS,EQ,25-Jul-23,3394.75,3397.50,3406.80,3380.20,3400.00,3399.15,3396.67,1272980.00,4323895800.15,134482.00,900644.00,70.75
TCS,EQ,26-Jul-23,3399.15,3400.35,3420.85,3385.00,3394.00,3388.30,3399.91,1066803.00,3627035565.20,101692.00,615587.00,57.70
TCS,EQ,27-Jul-23,3388.30,3394.95,3411.65,3385.05,3398.00,3396.90,3395.09,1701769.00,5777660069.25,125535.00,1242876.00,73.03
TCS,EQ,28-Jul-23,3396.90,3385.00,3393.70,3331.00,3354.00,3355.40,3352.74,2599831.00,8716557269.30,127470.00,1887794.00,72.61
TCS,EQ,31-Jul-23,3355.40,3364.40,3426.65,3360.90,3415.00,3421.45,3406.98,2743678.00,9347645416.85,121298.00,1933444.00,70.47
TCS,EQ,01-Aug-23,3421.45,3415.00,3460.00,3415.00,3450.10,3452.05,3443.71,1956167.00,6736474356.40,101249.00,1245505.00,63.67
TCS,EQ,02-Aug-23,3452.05,3434.95,3446.40,3413.60,3433.00,3440.65,3435.39,1914899.00,6578428884.55,116337.00,1398129.00,73.01
TCS,EQ,03-Aug-23,3440.65,3420.00,3433.25,3368.00,3397.00,3399.95,3397.85,2026351.00,6885230549.20,136745.00,1253208.00,61.85
TCS,EQ,04-Aug-23,3399.95,3401.25,3471.00,3401.25,3441.05,3443.55,3445.20,2248493.00,7746518305.90,118974.00,1434557.00,63.80
TCS,EQ,07-Aug-23,3443.55,3453.95,3488.00,3441.25,3482.90,3484.05,3467.58,1853889.00,6428512875.30,108103.00,1289089.00,69.53
TCS,EQ,08-Aug-23,3484.05,3484.05,3489.95,3456.60,3469.00,3470.60,3470.86,1634225.00,5672169905.30,119523.00,1271634.00,77.81
TCS,EQ,09-Aug-23,3470.60,3464.90,3467.00,3425.05,3460.85,3462.50,3449.06,1794589.00,6189641425.50,89275.00,1305254.00,72.73
TCS,EQ,10-Aug-23,3462.50,3450.00,3464.90,3430.05,3448.25,3442.10,3442.07,1096701.00,3774918908.55,76539.00,612492.00,55.85
TCS,EQ,11-Aug-23,3442.10,3438.10,3466.65,3414.00,3444.50,3448.80,3444.54,1679974.00,5786738907.20,142622.00,1051850.00,62.61
TCS,EQ,14-Aug-23,3448.80,3440.70,3455.00,3411.00,3448.00,3449.85,3434.19,1190425.00,4088141282.40,145261.00,697765.00,58.61
TCS,EQ,16-Aug-23,3449.85,3450.00,3466.00,3435.20,3450.70,3458.40,3453.07,1328445.00,4587215413.45,102457.00,898417.00,67.63
TCS,EQ,17-Aug-23,3458.40,3455.00,3460.80,3413.20,3425.90,3435.75,3435.28,1843241.00,6332040272.50,122489.00,1172604.00,63.62
TCS,EQ,18-Aug-23,3435.75,3410.00,3410.00,3356.50,3368.00,3367.10,3373.82,2526749.00,8524793143.10,150157.00,1424519.00,56.38
TCS,EQ,21-Aug-23,3367.10,3375.00,3409.75,3372.00,3400.05,3401.65,3396.90,1375579.00,4672710451.45,90178.00,948914.00,68.98
TCS,EQ,22-Aug-23,3401.65,3400.00,3411.00,3365.05,3383.10,3382.15,3379.46,1222012.00,4129742131.95,105529.00,765907.00,62.68
TCS,EQ,23-Aug-23,3382.15,3388.00,3402.00,3376.00,3389.20,3398.25,3392.66,1330046.00,4512393621.55,74093.00,846626.00,63.65
TCS,EQ,24-Aug-23,3398.25,3408.00,3413.05,3378.10,3391.00,3387.75,3392.89,1152881.00,3911601781.55,83377.00,703679.00,61.04
TCS,EQ,25-Aug-23,3387.75,3375.00,3385.80,3350.25,3374.00,3381.30,3371.84,1158046.00,3904744950.05,87415.00,741009.00,63.99
TCS,EQ,28-Aug-23,3381.30,3394.00,3394.00,3360.10,3373.00,3375.55,3374.18,1037485.00,3500663941.25,80009.00,718921.00,69.29
TCS,EQ,29-Aug-23,3375.55,3381.05,3389.55,3365.00,3375.00,3376.15,3375.62,944517.00,3188333020.15,68937.00,642831.00,68.06
TCS,EQ,30-Aug-23,3376.15,3398.00,3408.10,3383.05,3391.00,3390.95,3397.70,1188200.00,4037149090.80,83244.00,818723.00,68.90
TCS,EQ,31-Aug-23,3390.95,3401.00,3417.40,3343.65,3361.00,3356.80,3369.12,3417652.00,11514468309.55,125169.00,2421119.00,70.84
TCS,EQ,01-Sep-23,3356.80,3366.00,3389.00,3356.80,3374.00,3379.20,3379.92,1277950.00,4319372822.65,148744.00,872552.00,68.28
TCS,EQ,04-Sep-23,3379.20,3378.00,3432.85,3370.05,3418.50,3418.50,3405.13,1828332.00,6225711646.35,114654.00,1230246.00,67.29
TCS,EQ,05-Sep-23,3418.50,3420.00,3447.00,3405.15,3425.65,3429.35,3430.40,1501842.00,5151924571.65,100120.00,922625.00,61.43
TCS,EQ,06-Sep-23,3429.35,3434.00,3443.90,3398.10,3421.60,3429.90,3424.44,1314818.00,4502511185.60,99523.00,841418.00,64.00
TCS,EQ,07-Sep-23,3429.90,3430.80,3460.00,3422.30,3458.00,3455.25,3443.88,1885092.00,6492039521.45,143528.00,842814.00,44.71
